Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Ctech Attendance To fetch Cookie,10,3184,3348,4065,4065,4071,1444,4071,0.00%,2.41313,1761.82,6.18
Attendance Home,100,1110,806,2128,2239,2374,531,2512,0.00%,1.24191,5.46,3.3
My Attendance,100,1780,1261,4161,4699,4865,851,4929,0.00%,1.2373,54.39,7.38
Leave Application,100,5125,3847,9293,12613,14556,2843,14594,0.00%,1.26505,57.52,4.78
TOTAL,310,2688,1896,4929,7135,14103,531,14594,0.00%,3.50453,188.61,14.3
